task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
9957,1494,qsar-biodeg,0.0,Binary,1055,41,2,1.9634831460674158,0.8867924528301887,0.8738095238095238,0.8867924528301887,0.8738095238095238,0.8738095238095238,0.9571428571428571,0.25096736028091127,3.5987130379653536,0.3725972359534353,949.0,106.0,42,10,
9957,1494,qsar-biodeg,1.0,Binary,1055,41,2,1.9634831460674158,0.9150943396226415,0.9033140772271206,0.9150943396226415,0.9134495641344956,0.8952380952380953,0.9781746031746033,0.19242888220479631,4.0262606460019015,0.40346824401058257,949.0,106.0,42,10,
9957,1494,qsar-biodeg,2.0,Binary,1055,41,2,1.9634831460674158,0.839622641509434,0.8173710347623391,0.839622641509434,0.8254462432544625,0.8111111111111111,0.8492063492063492,0.5605746157151951,3.992576581018511,0.3880447290139273,949.0,106.0,42,10,
9957,1494,qsar-biodeg,3.0,Binary,1055,41,2,1.9634831460674158,0.8679245283018868,0.8484477124183006,0.8679245283018868,0.8610641891891893,0.8392857142857143,0.9210317460317461,0.3680801619758692,3.982994079007767,0.3748535580234602,949.0,106.0,42,10,
9957,1494,qsar-biodeg,4.0,Binary,1055,41,2,1.9634831460674158,0.8490566037735849,0.8293762575452717,0.8490566037735849,0.8345588235294117,0.825,0.9253968253968254,0.3364232835193737,3.7035491749993525,0.3884853269555606,949.0,106.0,42,10,
9957,1494,qsar-biodeg,5.0,Binary,1055,41,2,1.9634831460674158,0.8761904761904762,0.8596978106691335,0.8761904761904762,0.8624689312344656,0.8571428571428572,0.9424489795918367,0.2964733379961763,3.6694311579922214,0.38450536102754995,950.0,105.0,42,10,
9957,1494,qsar-biodeg,6.0,Binary,1055,41,2,1.9634831460674158,0.9238095238095239,0.9175176747839748,0.9238095238095239,0.9068216463414633,0.9357142857142857,0.9820408163265306,0.19574674639492773,3.8702935369801708,0.3935791230178438,950.0,105.0,42,10,
9957,1494,qsar-biodeg,7.0,Binary,1055,41,2,1.9634831460674158,0.8571428571428571,0.8356121490449848,0.8571428571428571,0.8446061643835616,0.8285714285714285,0.923265306122449,0.3857266411176619,3.6129594779922627,0.39421399898128584,950.0,105.0,42,10,
9957,1494,qsar-biodeg,8.0,Binary,1055,41,2,1.9634831460674158,0.9047619047619048,0.889520202020202,0.9047619047619048,0.9043156059285091,0.8785714285714286,0.963265306122449,0.23090422525578427,3.8723332739900798,0.38847040303517133,950.0,105.0,42,10,
9957,1494,qsar-biodeg,9.0,Binary,1055,41,2,1.9634831460674158,0.8761904761904762,0.8635136486351365,0.8761904761904762,0.8612877583465819,0.8659420289855073,0.9371980676328503,0.32942455314304453,3.593934844015166,0.38938569597667083,950.0,105.0,42,10,
9960,1497,wall-robot-navigation,0.0,Multiclass,5456,24,4,6.722560975609756,0.967032967032967,0.9640029212897854,0.967032967032967,0.9610149447540838,0.967203779004353,0.9978272719451289,0.09510472851320184,3.758511989028193,1.0892825049813837,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,1.0,Multiclass,5456,24,4,6.722560975609756,0.9761904761904762,0.9686792391440285,0.9761904761904762,0.9708842355142239,0.9666523696294141,0.9990657625716644,0.06154215420340361,3.8490332950023003,1.054051510989666,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,2.0,Multiclass,5456,24,4,6.722560975609756,0.9505494505494505,0.9469746873860281,0.9505494505494505,0.9425024239398228,0.952092786731341,0.9976972650504589,0.11536985591906045,3.927102567977272,1.1142902430146933,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,3.0,Multiclass,5456,24,4,6.722560975609756,0.9688644688644689,0.97000831179914,0.9688644688644689,0.9750317200684848,0.9655485578678349,0.998244957625791,0.09215116910828618,3.9596460729953833,1.0656747440225445,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,4.0,Multiclass,5456,24,4,6.722560975609756,0.9743589743589743,0.9725484179895897,0.9743589743589743,0.9783017141134416,0.9673525269910813,0.9984144114591249,0.08351256705787889,3.9957174070295878,1.0785010349936783,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,5.0,Multiclass,5456,24,4,6.722560975609756,0.9652014652014652,0.9681646784587962,0.9652014652014652,0.9723851900681169,0.9640881708652792,0.9984527325546747,0.0842285418612876,3.7516606170102023,1.0961493319482543,4910.0,546.0,42,10,
9960,1497,wall-robot-navigation,6.0,Multiclass,5456,24,4,6.722560975609756,0.9541284403669725,0.9470416573396416,0.9541284403669725,0.9443647651368239,0.9503029977051061,0.9979149857388756,0.09590870044667223,3.730157105019316,1.0604560330393724,4911.0,545.0,42,10,
9960,1497,wall-robot-navigation,7.0,Multiclass,5456,24,4,6.722560975609756,0.9724770642201835,0.9711627722425514,0.9724770642201835,0.9792173037159383,0.9637018855803825,0.9986830785109038,0.08010865144130883,3.754759229021147,1.0587432109750807,4911.0,545.0,42,10,
9960,1497,wall-robot-navigation,8.0,Multiclass,5456,24,4,6.722560975609756,0.9614678899082569,0.9635733359334033,0.9614678899082569,0.9664942976359231,0.961350166609549,0.9983925161367851,0.09154609759715074,3.6377605870366096,1.13280996697722,4911.0,545.0,42,10,
9960,1497,wall-robot-navigation,9.0,Multiclass,5456,24,4,6.722560975609756,0.9669724770642202,0.9669789406631512,0.9669724770642202,0.9689075228327647,0.9651335349440009,0.9978129052224697,0.0943870615319113,3.8806577189825475,1.1344777140184306,4911.0,545.0,42,10,
9964,1501,semeion,0.0,Multiclass,1593,256,10,1.0451612903225806,0.93125,0.9313234883396173,0.93125,0.9340634674922601,0.93125,0.9983940972222222,0.19489625959950693,4.395394713967107,2.0018157020094804,1433.0,160.0,42,10,
9964,1501,semeion,1.0,Multiclass,1593,256,10,1.0451612903225806,0.95,0.9498963133640554,0.95,0.9528624871001032,0.95,0.9966322437739462,0.2232573723859173,4.056359313020948,2.0075826199608855,1433.0,160.0,42,10,
9964,1501,semeion,2.0,Multiclass,1593,256,10,1.0451612903225806,0.95625,0.9572978120867116,0.95625,0.9607843137254901,0.9569852941176471,0.9973158301053522,0.1854056606928458,4.414384217991028,2.000796189997345,1433.0,160.0,42,10,
9964,1501,semeion,3.0,Multiclass,1593,256,10,1.0451612903225806,0.9371069182389937,0.9364393939393938,0.9371069182389937,0.9384453781512605,0.9370833333333334,0.9970043382543382,0.21681848943135332,4.3803609639871866,1.999266887025442,1434.0,159.0,42,10,
9964,1501,semeion,4.0,Multiclass,1593,256,10,1.0451612903225806,0.9308176100628931,0.9306158665812367,0.9308176100628931,0.934608518846135,0.9307843137254903,0.9956134685070064,0.2631730926018926,4.264255387999583,2.0082980470033363,1434.0,159.0,42,10,
