task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
18,18,mfeat-morphological,6.0,Multiclass,2000,6,10,1.0,0.745,0.742651997838134,0.745,0.7435633591554645,0.7449999999999999,0.9460000000000001,0.9025835515391233,0.282136969268322,0.16341033577919006,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,7.0,Multiclass,2000,6,10,1.0,0.78,0.779226230808462,0.78,0.7839968003011482,0.78,0.9651805555555555,0.659730776833989,0.31504425033926964,0.15788484551012516,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,8.0,Multiclass,2000,6,10,1.0,0.715,0.7083600817808545,0.715,0.7196192696192696,0.7150000000000001,0.9446944444444444,0.8657173572649498,0.24278824776411057,0.15893486142158508,1800.0,200.0,42,32.0,,10,
18,18,mfeat-morphological,9.0,Multiclass,2000,6,10,1.0,0.725,0.7199929207246281,0.725,0.7226767350296763,0.725,0.9425555555555555,0.9049702577587433,0.24273227714002132,0.1576349064707756,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,0.0,Multiclass,2000,47,10,1.0,0.805,0.7995069945953431,0.805,0.7964487734487734,0.8049999999999999,0.9668888888888889,0.7116393946931064,0.31046497635543346,0.3998401556164026,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,1.0,Multiclass,2000,47,10,1.0,0.83,0.8296353615213512,0.83,0.8307635544336313,0.8300000000000001,0.9717222222222223,0.6068001219192635,0.30126457661390305,0.3988637141883373,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,2.0,Multiclass,2000,47,10,1.0,0.805,0.8028495863155684,0.805,0.8035383914331284,0.805,0.9696111111111112,0.672847206438594,0.300492774695158,0.39926883205771446,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,3.0,Multiclass,2000,47,10,1.0,0.845,0.8391645075791418,0.845,0.8347186147186146,0.845,0.976361111111111,0.5410422362096882,0.298953665420413,0.40032196789979935,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,4.0,Multiclass,2000,47,10,1.0,0.815,0.8123878097369752,0.815,0.8125122655122654,0.8149999999999998,0.9713055555555556,0.6813199393426871,0.298810925334692,0.3983832485973835,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,5.0,Multiclass,2000,47,10,1.0,0.83,0.8236807797783406,0.83,0.8204461688981812,0.8299999999999998,0.9704722222222223,0.6577611099447526,0.29934599064290524,0.3976300973445177,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,6.0,Multiclass,2000,47,10,1.0,0.845,0.8410612152075567,0.845,0.839047619047619,0.845,0.9778611111111111,0.5247671520568256,0.2972169406712055,0.4014591667801142,1800.0,200.0,42,32.0,,10,
