episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
133,1.602418,0.673672,0.602410,0.680674,0.493130,0.518849,2,15,334,251,0,3,4000,0.5,False,False,0.0,4,1,0.665339
134,1.560993,0.998198,0.489362,1.000528,0.478069,0.504124,3,15,282,188,0,3,4000,0.5,False,False,0.0,4,1,0.452128
135,1.362665,0.665961,0.627660,0.660353,0.467328,0.504086,2,9,210,22,0,3,4000,0.5,False,False,0.0,4,1,0.636364
136,1.697479,0.684126,0.568966,0.707449,0.496224,0.567146,2,9,153,95,0,3,4000,0.5,False,False,0.0,4,1,0.673684
137,1.599463,0.690020,0.570000,0.685664,0.496045,0.568686,2,13,309,209,0,3,4000,0.5,False,False,0.0,4,1,0.535885
138,1.799996,0.686936,0.569231,0.720047,0.490364,0.490072,2,11,336,76,0,3,4000,0.5,False,False,0.0,4,1,0.697368
139,1.668898,0.674637,0.597484,0.691492,0.506948,0.517890,2,11,296,137,0,3,4000,0.5,False,False,0.0,4,1,0.686131
140,1.359705,0.690240,0.541126,0.689988,0.502314,0.534228,2,14,260,29,0,3,4000,0.5,False,False,0.0,4,1,0.551724
141,1.820943,0.655694,0.652174,0.646110,0.508054,0.498688,2,15,370,232,0,3,4000,0.5,False,False,0.0,4,1,0.655172
142,1.478447,0.969549,0.510638,0.972851,0.540440,0.498307,3,13,380,51,0,3,4000,0.5,False,False,0.0,4,1,0.568627
143,1.757152,0.690910,0.539007,0.692110,0.512894,0.520615,2,12,290,149,0,3,4000,0.5,False,False,0.0,4,1,0.57047
144,1.509893,0.693741,0.428571,0.693147,0.503070,0.627012,2,8,254,44,0,3,4000,0.5,False,False,0.0,4,1,0.5
145,2.026416,0.646724,0.720000,0.627935,0.494765,0.503383,2,8,136,86,0,3,4000,0.5,False,False,0.0,4,1,0.593023
146,1.689229,0.683506,0.564516,0.694878,0.499404,0.484304,2,8,335,273,0,3,4000,0.5,False,False,0.0,4,1,0.6337
147,1.485558,0.983095,0.568627,0.984737,0.516534,0.492938,3,15,132,30,0,3,4000,0.5,False,False,0.0,4,1,0.6
148,1.549786,0.679660,0.582222,0.681306,0.516692,0.490809,2,10,279,54,0,3,4000,0.5,False,False,0.0,4,1,0.611111
149,1.680536,1.002576,0.538462,0.997077,0.492286,0.522897,3,15,174,44,0,3,4000,0.5,False,False,0.0,4,1,0.454545
150,1.988625,1.032171,0.527778,1.033417,0.510228,0.482040,3,14,191,155,0,3,4000,0.5,False,False,0.0,4,1,0.535484
